Timestamp,Congestion Event,cwnd,sshthresh
2007-06-28 21:05:40.152365,Retransmission,1,1
2007-06-28 21:05:40.155730,,2,1
2007-06-28 21:05:40.155863,Retransmission,1,1
2007-06-28 21:05:40.157149,,2,1
2007-06-28 21:05:40.161116,,3,1
2007-06-28 21:05:40.161238,Retransmission,1,1
2007-06-28 21:05:40.162397,Retransmission,1,1
2007-06-28 21:05:40.163632,,2,1
2007-06-28 21:05:40.163873,,3,1
2007-06-28 21:05:40.164081,Retransmission,1,1
2007-06-28 21:05:40.164769,Retransmission,1,1
2007-06-28 21:05:40.165365,Retransmission,1,1
2007-06-28 21:05:40.167541,,2,1
2007-06-28 21:05:40.168912,,3,1
2007-06-28 21:05:40.169040,,4,1
2007-06-28 21:05:40.169253,Retransmission,1,2
2007-06-28 21:05:40.169895,Retransmission,1,1
2007-06-28 21:05:40.171049,Retransmission,1,1
2007-06-28 21:05:40.171520,Retransmission,1,1
2007-06-28 21:05:40.177746,,2,1
2007-06-28 21:05:40.179203,,3,1
2007-06-28 21:05:40.180475,,4,1
2007-06-28 21:05:40.185004,,5,1
2007-06-28 21:05:40.186949,,6,1
2007-06-28 21:05:40.187173,Retransmission,1,3
2007-06-28 21:05:40.187385,Retransmission,1,1
2007-06-28 21:05:40.187665,Retransmission,1,1
2007-06-28 21:05:40.193190,,2,1
2007-06-28 21:05:40.194126,Retransmission,1,1
2007-06-28 21:05:40.194260,Retransmission,1,1
2007-06-28 21:05:40.194465,Retransmission,1,1
2007-06-28 21:05:40.194660,Retransmission,1,1
2007-06-28 21:05:40.194874,Retransmission,1,1
2007-06-28 21:05:40.204865,,2,1
2007-06-28 21:05:40.210767,,3,1
2007-06-28 21:05:40.211034,Retransmission,1,1
2007-06-28 21:05:40.211255,,2,1
2007-06-28 21:05:40.212086,Retransmission,1,1
2007-06-28 21:05:40.212313,Retransmission,1,1
2007-06-28 21:05:40.212486,Retransmission,1,1
2007-06-28 21:05:40.212760,Retransmission,1,1
2007-06-28 21:05:40.217959,Retransmission,1,1
2007-06-28 21:05:40.218577,Retransmission,1,1
2007-06-28 21:05:40.219266,,2,1
2007-06-28 21:05:40.219501,,3,1
2007-06-28 21:05:40.231864,Retransmission,1,1
2007-06-28 21:05:40.232075,Retransmission,1,1
2007-06-28 21:05:40.234550,,2,1
2007-06-28 21:05:40.234795,Retransmission,1,1
2007-06-28 21:05:40.236083,Triple Duplicate,1,1
2007-06-28 21:05:40.236306,,2,1
2007-06-28 21:05:40.236507,Retransmission,1,1
2007-06-28 21:05:40.237659,Retransmission,1,1
2007-06-28 21:05:40.239679,Retransmission,1,1
2007-06-28 21:05:40.239840,Retransmission,1,1
2007-06-28 21:05:40.257738,,2,1
2007-06-28 21:05:40.289112,,3,1
2007-06-28 21:05:40.493051,,4,1
2007-06-28 21:05:42.586933,Retransmission,1,2
