Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence,Ack Number,Window,Flags
2020-04-21 16:34:09.926221,192.168.10.184,192.168.10.196,52343,5201,10711162,1,4096,0x0010
2020-04-21 16:34:09.926222,192.168.10.184,192.168.10.196,52343,5201,10712622,1,4096,0x0010
2020-04-21 16:34:09.926222,192.168.10.184,192.168.10.196,52343,5201,10714082,1,4096,0x0010
2020-04-21 16:34:09.926222,192.168.10.184,192.168.10.196,52343,5201,10715542,1,4096,0x0010
2020-04-21 16:34:09.926222,192.168.10.184,192.168.10.196,52343,5201,10717002,1,4096,0x0010
2020-04-21 16:34:09.929380,192.168.10.196,192.168.10.184,5201,52343,1,10511142,53248,0x0010
2020-04-21 16:34:09.929410,192.168.10.184,192.168.10.196,52343,5201,10718462,1,4096,0x0010
2020-04-21 16:34:09.929411,192.168.10.184,192.168.10.196,52343,5201,10719922,1,4096,0x0010
2020-04-21 16:34:09.929411,192.168.10.184,192.168.10.196,52343,5201,10721382,1,4096,0x0010
2020-04-21 16:34:09.931146,192.168.10.196,192.168.10.184,5201,52343,1,10546182,53248,0x0010
2020-04-21 16:34:09.931203,192.168.10.184,192.168.10.196,52343,5201,10722842,1,4096,0x0010
2020-04-21 16:34:09.931204,192.168.10.184,192.168.10.196,52343,5201,10724302,1,4096,0x0010
2020-04-21 16:34:09.931205,192.168.10.184,192.168.10.196,52343,5201,10725762,1,4096,0x0010
2020-04-21 16:34:09.931205,192.168.10.184,192.168.10.196,52343,5201,10727222,1,4096,0x0010
2020-04-21 16:34:09.931205,192.168.10.184,192.168.10.196,52343,5201,10728682,1,4096,0x0010
2020-04-21 16:34:09.931206,192.168.10.184,192.168.10.196,52343,5201,10730142,1,4096,0x0010
2020-04-21 16:34:09.931206,192.168.10.184,192.168.10.196,52343,5201,10731602,1,4096,0x0010
2020-04-21 16:34:09.931206,192.168.10.184,192.168.10.196,52343,5201,10733062,1,4096,0x0010
2020-04-21 16:34:09.931207,192.168.10.184,192.168.10.196,52343,5201,10734522,1,4096,0x0010
2020-04-21 16:34:09.931207,192.168.10.184,192.168.10.196,52343,5201,10735982,1,4096,0x0010
2020-04-21 16:34:09.931207,192.168.10.184,192.168.10.196,52343,5201,10737442,1,4096,0x0010
2020-04-21 16:34:09.931207,192.168.10.184,192.168.10.196,52343,5201,10738902,1,4096,0x0010
2020-04-21 16:34:09.931208,192.168.10.184,192.168.10.196,52343,5201,10740362,1,4096,0x0010
2020-04-21 16:34:09.931208,192.168.10.184,192.168.10.196,52343,5201,10741822,1,4096,0x0010
2020-04-21 16:34:09.931208,192.168.10.184,192.168.10.196,52343,5201,10743282,1,4096,0x0010
2020-04-21 16:34:09.931209,192.168.10.184,192.168.10.196,52343,5201,10744742,1,4096,0x0010
2020-04-21 16:34:09.931209,192.168.10.184,192.168.10.196,52343,5201,10746202,1,4096,0x0010
2020-04-21 16:34:09.931209,192.168.10.184,192.168.10.196,52343,5201,10747662,1,4096,0x0010
2020-04-21 16:34:09.931210,192.168.10.184,192.168.10.196,52343,5201,10749122,1,4096,0x0010
2020-04-21 16:34:09.931210,192.168.10.184,192.168.10.196,52343,5201,10750582,1,4096,0x0010
2020-04-21 16:34:09.931210,192.168.10.184,192.168.10.196,52343,5201,10752042,1,4096,0x0010
2020-04-21 16:34:09.931210,192.168.10.184,192.168.10.196,52343,5201,10753502,1,4096,0x0010
2020-04-21 16:34:09.931211,192.168.10.184,192.168.10.196,52343,5201,10754962,1,4096,0x0010
2020-04-21 16:34:09.931211,192.168.10.184,192.168.10.196,52343,5201,10756422,1,4096,0x0010
2020-04-21 16:34:09.932705,192.168.10.196,192.168.10.184,5201,52343,1,10557862,53248,0x0010
2020-04-21 16:34:09.932741,192.168.10.184,192.168.10.196,52343,5201,10757882,1,4096,0x0010
2020-04-21 16:34:09.932742,192.168.10.184,192.168.10.196,52343,5201,10759342,1,4096,0x0010
2020-04-21 16:34:09.932742,192.168.10.184,192.168.10.196,52343,5201,10760802,1,4096,0x0010
2020-04-21 16:34:09.932742,192.168.10.184,192.168.10.196,52343,5201,10762262,1,4096,0x0010
2020-04-21 16:34:09.932743,192.168.10.184,192.168.10.196,52343,5201,10763722,1,4096,0x0010
2020-04-21 16:34:09.932743,192.168.10.184,192.168.10.196,52343,5201,10765182,1,4096,0x0010
2020-04-21 16:34:09.932743,192.168.10.184,192.168.10.196,52343,5201,10766642,1,4096,0x0010
