Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:02.433318,1,959258
Triple Duplicate,2020-04-21 16:34:02.433319,1,963638
Triple Duplicate,2020-04-21 16:34:02.433321,1,968018
Triple Duplicate,2020-04-21 16:34:02.433323,1,972398
Triple Duplicate,2020-04-21 16:34:02.434275,1,978238
Triple Duplicate,2020-04-21 16:34:02.434278,1,982618
Triple Duplicate,2020-04-21 16:34:02.434282,1,988458
Triple Duplicate,2020-04-21 16:34:02.434284,1,991378
Triple Duplicate,2020-04-21 16:34:02.434287,1,995758
Triple Duplicate,2020-04-21 16:34:02.434757,1,1001598
Triple Duplicate,2020-04-21 16:34:02.434760,1,1005978
Triple Duplicate,2020-04-21 16:34:02.434764,1,1010358
Triple Duplicate,2020-04-21 16:34:02.434766,1,1014738
Triple Duplicate,2020-04-21 16:34:02.434769,1,1019118
Triple Duplicate,2020-04-21 16:34:02.434772,1,1023498
Triple Duplicate,2020-04-21 16:34:02.434775,1,1027878
Triple Duplicate,2020-04-21 16:34:02.434777,1,1032258
Triple Duplicate,2020-04-21 16:34:02.439011,1,1036638
Triple Duplicate,2020-04-21 16:34:02.439014,1,1041018
Triple Duplicate,2020-04-21 16:34:02.439018,1,1045398
Triple Duplicate,2020-04-21 16:34:02.439021,1,1049778
Triple Duplicate,2020-04-21 16:34:02.439024,1,1054158
Triple Duplicate,2020-04-21 16:34:02.439027,1,1058538
Triple Duplicate,2020-04-21 16:34:02.440124,1,1068758
Triple Duplicate,2020-04-21 16:34:02.440127,1,1073138
Triple Duplicate,2020-04-21 16:34:02.442365,1,1077518
Triple Duplicate,2020-04-21 16:34:02.442368,1,1081898
Triple Duplicate,2020-04-21 16:34:02.442371,1,1086278
Triple Duplicate,2020-04-21 16:34:02.442373,1,1090658
Triple Duplicate,2020-04-21 16:34:02.442376,1,1095038
Triple Duplicate,2020-04-21 16:34:02.442379,1,1099418
Triple Duplicate,2020-04-21 16:34:02.445001,1,1106718
Triple Duplicate,2020-04-21 16:34:02.445004,1,1111098
Triple Duplicate,2020-04-21 16:34:02.445008,1,1115478
Triple Duplicate,2020-04-21 16:34:02.445010,1,1119858
Triple Duplicate,2020-04-21 16:34:02.445013,1,1124238
Triple Duplicate,2020-04-21 16:34:02.448873,1,1130078
Triple Duplicate,2020-04-21 16:34:02.448876,1,1134458
Triple Duplicate,2020-04-21 16:34:02.448879,1,1138838
Triple Duplicate,2020-04-21 16:34:02.552741,1,1146138
Triple Duplicate,2020-04-21 16:34:02.552743,1,1150518
Triple Duplicate,2020-04-21 16:34:02.552745,1,1154898
Triple Duplicate,2020-04-21 16:34:02.552747,1,1159278
Triple Duplicate,2020-04-21 16:34:02.552749,1,1163658
Triple Duplicate,2020-04-21 16:34:02.552752,1,1169498
Triple Duplicate,2020-04-21 16:34:02.552754,1,1172418
Triple Duplicate,2020-04-21 16:34:02.553669,1,1178258
Triple Duplicate,2020-04-21 16:34:02.553670,1,1179718
Triple Duplicate,2020-04-21 16:34:02.553672,1,1185558
Triple Duplicate,2020-04-21 16:34:02.553673,1,1189938
Triple Duplicate,2020-04-21 16:34:02.553674,1,1194318
Triple Duplicate,2020-04-21 16:34:02.553675,1,1198698
Triple Duplicate,2020-04-21 16:34:02.553945,1,1205998
Triple Duplicate,2020-04-21 16:34:02.553946,1,1207458
Triple Duplicate,2020-04-21 16:34:02.553947,1,1211838
Triple Duplicate,2020-04-21 16:34:02.553948,1,1216218
Triple Duplicate,2020-04-21 16:34:02.553950,1,1220598
Triple Duplicate,2020-04-21 16:34:02.553951,1,1224978
Triple Duplicate,2020-04-21 16:34:02.553952,1,1226438
Triple Duplicate,2020-04-21 16:34:02.553954,1,1233738
Triple Duplicate,2020-04-21 16:34:02.556430,1,1241038
Triple Duplicate,2020-04-21 16:34:02.556431,1,1245418
Triple Duplicate,2020-04-21 16:34:02.556432,1,1249798
Triple Duplicate,2020-04-21 16:34:02.556434,1,1254178
Triple Duplicate,2020-04-21 16:34:02.556435,1,1258558
Triple Duplicate,2020-04-21 16:34:02.556436,1,1262938
Triple Duplicate,2020-04-21 16:34:02.556438,1,1267318
Triple Duplicate,2020-04-21 16:34:02.556439,1,1271698
Triple Duplicate,2020-04-21 16:34:02.559616,1,1276078
Triple Duplicate,2020-04-21 16:34:02.559618,1,1280458
Triple Duplicate,2020-04-21 16:34:02.559802,1,1287758
Triple Duplicate,2020-04-21 16:34:02.559805,1,1292138
Triple Duplicate,2020-04-21 16:34:02.559806,1,1295058
Triple Duplicate,2020-04-21 16:34:02.559808,1,1300898
Triple Duplicate,2020-04-21 16:34:02.559809,1,1305278
Triple Duplicate,2020-04-21 16:34:02.559811,1,1309658
Triple Duplicate,2020-04-21 16:34:02.559812,1,1312578
Triple Duplicate,2020-04-21 16:34:02.562354,1,1318418
Triple Duplicate,2020-04-21 16:34:02.562356,1,1324258
Triple Duplicate,2020-04-21 16:34:02.562357,1,1327178
Triple Duplicate,2020-04-21 16:34:02.562358,1,1331558
Triple Duplicate,2020-04-21 16:34:02.562360,1,1335938
Triple Duplicate,2020-04-21 16:34:02.562928,1,1341778
Triple Duplicate,2020-04-21 16:34:02.562930,1,1347618
Triple Duplicate,2020-04-21 16:34:02.562931,1,1350538
Triple Duplicate,2020-04-21 16:34:02.668873,1,1357838
Triple Duplicate,2020-04-21 16:34:02.668875,1,1362218
Triple Duplicate,2020-04-21 16:34:02.668877,1,1368058
Triple Duplicate,2020-04-21 16:34:02.668878,1,1370978
Triple Duplicate,2020-04-21 16:34:02.668881,1,1375358
Triple Duplicate,2020-04-21 16:34:02.668883,1,1379738
Triple Duplicate,2020-04-21 16:34:02.668884,1,1384118
Triple Duplicate,2020-04-21 16:34:02.669653,1,1388498
Triple Duplicate,2020-04-21 16:34:02.669655,1,1391418
Triple Duplicate,2020-04-21 16:34:02.669657,1,1397258
Triple Duplicate,2020-04-21 16:34:02.669659,1,1401638
Triple Duplicate,2020-04-21 16:34:02.669661,1,1406018
