Timestamp,Event,cwnd,sstresh
2020-04-21 16:34:02.070879,Triple Duplicate,7,4
2020-04-21 16:34:02.070880,,8,4
2020-04-21 16:34:02.070881,Triple Duplicate,7,4
2020-04-21 16:34:02.070882,,8,4
2020-04-21 16:34:02.070882,,9,4
2020-04-21 16:34:02.070883,Triple Duplicate,7,4
2020-04-21 16:34:02.070884,,8,4
2020-04-21 16:34:02.070884,,9,4
2020-04-21 16:34:02.070885,Triple Duplicate,7,4
2020-04-21 16:34:02.070886,,8,4
2020-04-21 16:34:02.070886,,9,4
2020-04-21 16:34:02.070887,Triple Duplicate,7,4
2020-04-21 16:34:02.070888,,8,4
2020-04-21 16:34:02.070888,,9,4
2020-04-21 16:34:02.072116,Retransmission,1,4
2020-04-21 16:34:02.072252,,2,4
2020-04-21 16:34:02.072253,Triple Duplicate,4,1
2020-04-21 16:34:02.072253,,5,1
2020-04-21 16:34:02.072254,,6,1
2020-04-21 16:34:02.072255,,7,1
2020-04-21 16:34:02.072256,Triple Duplicate,6,3
2020-04-21 16:34:02.072256,,7,3
2020-04-21 16:34:02.072257,,8,3
2020-04-21 16:34:02.072258,Triple Duplicate,7,4
2020-04-21 16:34:02.072258,,8,4
2020-04-21 16:34:02.072356,Retransmission,1,4
2020-04-21 16:34:02.072452,,2,4
2020-04-21 16:34:02.072454,,4,4
2020-04-21 16:34:02.072454,Triple Duplicate,5,2
2020-04-21 16:34:02.072455,,6,2
2020-04-21 16:34:02.195602,Retransmission,1,3
2020-04-21 16:34:02.195759,,2,3
2020-04-21 16:34:02.195760,,4,3
2020-04-21 16:34:02.195761,Triple Duplicate,5,2
2020-04-21 16:34:02.195762,,6,2
2020-04-21 16:34:02.195762,,7,2
2020-04-21 16:34:02.195764,Triple Duplicate,6,3
2020-04-21 16:34:02.195764,,7,3
2020-04-21 16:34:02.195766,,8,3
2020-04-21 16:34:02.195767,Triple Duplicate,7,4
2020-04-21 16:34:02.195767,,8,4
2020-04-21 16:34:02.195769,,9,4
2020-04-21 16:34:02.195769,Triple Duplicate,7,4
2020-04-21 16:34:02.195770,,8,4
2020-04-21 16:34:02.195779,,9,4
2020-04-21 16:34:02.195779,Triple Duplicate,7,4
2020-04-21 16:34:02.195781,,8,4
2020-04-21 16:34:02.195782,,9,4
2020-04-21 16:34:02.196734,Retransmission,1,4
2020-04-21 16:34:02.196876,,2,4
2020-04-21 16:34:02.196879,Triple Duplicate,4,1
2020-04-21 16:34:02.196879,,5,1
2020-04-21 16:34:02.196880,,6,1
2020-04-21 16:34:02.196881,,7,1
2020-04-21 16:34:02.196882,Triple Duplicate,6,3
2020-04-21 16:34:02.196884,,7,3
2020-04-21 16:34:02.196884,,8,3
2020-04-21 16:34:02.196885,Triple Duplicate,7,4
2020-04-21 16:34:02.196886,,8,4
2020-04-21 16:34:02.200336,Retransmission,1,4
2020-04-21 16:34:02.200510,,2,4
2020-04-21 16:34:02.200511,,4,4
2020-04-21 16:34:02.200512,Triple Duplicate,5,2
2020-04-21 16:34:02.200513,,6,2
2020-04-21 16:34:02.200514,,7,2
2020-04-21 16:34:02.200515,Triple Duplicate,6,3
2020-04-21 16:34:02.200516,,7,3
2020-04-21 16:34:02.200517,,8,3
2020-04-21 16:34:02.200518,,9,3
2020-04-21 16:34:02.200518,Triple Duplicate,7,4
2020-04-21 16:34:02.200520,,8,4
2020-04-21 16:34:02.200520,Triple Duplicate,7,4
2020-04-21 16:34:02.200522,,8,4
2020-04-21 16:34:02.200523,,9,4
2020-04-21 16:34:02.200523,Triple Duplicate,7,4
2020-04-21 16:34:02.200525,,8,4
2020-04-21 16:34:02.200525,,9,4
2020-04-21 16:34:02.200526,Triple Duplicate,7,4
2020-04-21 16:34:02.200527,,8,4
2020-04-21 16:34:02.200528,,9,4
2020-04-21 16:34:02.200664,Retransmission,1,4
2020-04-21 16:34:02.200751,,2,4
2020-04-21 16:34:02.200752,,4,4
2020-04-21 16:34:02.200753,Triple Duplicate,5,2
2020-04-21 16:34:02.200754,,6,2
2020-04-21 16:34:02.200755,,7,2
2020-04-21 16:34:02.200756,Triple Duplicate,6,3
2020-04-21 16:34:02.201422,Retransmission,1,3
2020-04-21 16:34:02.201562,,2,3
2020-04-21 16:34:02.201563,,4,3
2020-04-21 16:34:02.201565,Triple Duplicate,5,2
2020-04-21 16:34:02.201565,,6,2
2020-04-21 16:34:02.201566,,7,2
2020-04-21 16:34:02.201567,Triple Duplicate,6,3
2020-04-21 16:34:02.201568,,7,3
2020-04-21 16:34:02.201569,,8,3
2020-04-21 16:34:02.201570,Triple Duplicate,7,4
2020-04-21 16:34:02.201570,,8,4
2020-04-21 16:34:02.201572,,9,4
2020-04-21 16:34:02.203044,Retransmission,1,4
2020-04-21 16:34:02.203257,,2,4
2020-04-21 16:34:02.203258,,4,4
2020-04-21 16:34:02.203260,Triple Duplicate,5,2
2020-04-21 16:34:02.203260,,6,2
2020-04-21 16:34:02.203261,,7,2
2020-04-21 16:34:02.203262,Triple Duplicate,6,3
2020-04-21 16:34:02.203263,,7,3
2020-04-21 16:34:02.203264,,8,3
2020-04-21 16:34:02.203265,Triple Duplicate,7,4
2020-04-21 16:34:02.203266,,8,4
2020-04-21 16:34:02.203267,,9,4
2020-04-21 16:34:02.203268,Triple Duplicate,7,4
2020-04-21 16:34:02.203268,,8,4
2020-04-21 16:34:02.203270,,9,4
2020-04-21 16:34:02.203270,Triple Duplicate,7,4
2020-04-21 16:34:02.203271,,8,4
2020-04-21 16:34:02.203273,,9,4
2020-04-21 16:34:02.203273,Triple Duplicate,7,4
2020-04-21 16:34:02.203275,,8,4
2020-04-21 16:34:02.203275,,9,4
2020-04-21 16:34:02.203276,Triple Duplicate,7,4
2020-04-21 16:34:02.203277,,8,4
2020-04-21 16:34:02.203278,,9,4
2020-04-21 16:34:02.203279,Triple Duplicate,7,4
2020-04-21 16:34:02.203280,,8,4
2020-04-21 16:34:02.203281,,9,4
2020-04-21 16:34:02.203282,Triple Duplicate,7,4
2020-04-21 16:34:02.203283,,8,4
2020-04-21 16:34:02.203284,,9,4
2020-04-21 16:34:02.203285,Triple Duplicate,7,4
2020-04-21 16:34:02.203286,,8,4
2020-04-21 16:34:02.203287,,9,4
2020-04-21 16:34:02.203288,Triple Duplicate,7,4
2020-04-21 16:34:02.208782,Retransmission,1,3
2020-04-21 16:34:02.208906,,2,3
2020-04-21 16:34:02.208907,,4,3
2020-04-21 16:34:02.208908,Triple Duplicate,5,2
2020-04-21 16:34:02.208908,,6,2
